i,encoding,dataset,selectivity,query_time
0,FOR,ml_timestamp_200M.csv,0.01,1.16205
0,FOR,ml_timestamp_200M.csv,0.05,1.19709
0,FOR,ml_timestamp_200M.csv,0.1,1.19803
0,FOR,ml_timestamp_200M.csv,1.0,1.27569
0,FOR,ml_timestamp_200M.csv,10.0,3.23712
0,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.25658
0,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,1.69519
0,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,1.74053
0,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,1.75212
0,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,1.82146
0,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,3.81786
0,LECO,normal_200M_uint32.txt,0.001,0.790554
0,LECO,normal_200M_uint32.txt,0.01,0.910459
0,LECO,normal_200M_uint32.txt,0.05,0.932055
0,LECO,normal_200M_uint32.txt,0.1,0.931608
0,LECO,normal_200M_uint32.txt,1.0,1.02314
0,LECO,normal_200M_uint32.txt,10.0,2.20905
0,LECO,linear_200M_uint32.txt,0.001,0.786934
0,LECO,linear_200M_uint32.txt,0.01,0.901779
0,LECO,linear_200M_uint32.txt,0.05,0.927084
0,LECO,linear_200M_uint32.txt,0.1,0.934534
0,LECO,linear_200M_uint32.txt,1.0,0.983886
0,LECO,linear_200M_uint32.txt,10.0,2.205
0,LECO,books_200M_uint32.txt,0.001,0.954682
0,LECO,books_200M_uint32.txt,0.01,1.07174
0,LECO,books_200M_uint32.txt,0.05,1.10536
0,LECO,books_200M_uint32.txt,0.1,1.10726
0,LECO,books_200M_uint32.txt,1.0,1.16757
0,LECO,books_200M_uint32.txt,10.0,2.42057
0,LECO,ml_timestamp_200M.csv,0.001,0.878333
0,LECO,ml_timestamp_200M.csv,0.01,1.02378
0,LECO,ml_timestamp_200M.csv,0.05,1.05298
0,LECO,ml_timestamp_200M.csv,0.1,1.05302
0,LECO,ml_timestamp_200M.csv,1.0,1.14039
0,LECO,ml_timestamp_200M.csv,10.0,3.2631
0,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.03429
0,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,1.3252
0,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,1.36323
0,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,1.37013
0,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,1.46233
0,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,3.58471
1,PLAIN,normal_200M_uint32.txt,0.001,1.36895
1,PLAIN,normal_200M_uint32.txt,0.01,1.71617
1,PLAIN,normal_200M_uint32.txt,0.05,1.77564
1,PLAIN,normal_200M_uint32.txt,0.1,1.77023
1,PLAIN,normal_200M_uint32.txt,1.0,1.81223
1,PLAIN,normal_200M_uint32.txt,10.0,2.713
1,PLAIN,linear_200M_uint32.txt,0.001,1.35739
1,PLAIN,linear_200M_uint32.txt,0.01,1.73047
1,PLAIN,linear_200M_uint32.txt,0.05,1.78968
1,PLAIN,linear_200M_uint32.txt,0.1,1.79051
1,PLAIN,linear_200M_uint32.txt,1.0,1.83114
1,PLAIN,linear_200M_uint32.txt,10.0,2.73905
1,PLAIN,books_200M_uint32.txt,0.001,1.45201
1,PLAIN,books_200M_uint32.txt,0.01,1.71836
1,PLAIN,books_200M_uint32.txt,0.05,1.80441
1,PLAIN,books_200M_uint32.txt,0.1,1.80394
1,PLAIN,books_200M_uint32.txt,1.0,1.82873
1,PLAIN,books_200M_uint32.txt,10.0,2.7942
1,PLAIN,ml_timestamp_200M.csv,0.001,2.04655
1,PLAIN,ml_timestamp_200M.csv,0.01,2.65686
1,PLAIN,ml_timestamp_200M.csv,0.05,2.73102
1,PLAIN,ml_timestamp_200M.csv,0.1,2.73823
1,PLAIN,ml_timestamp_200M.csv,1.0,2.81516
1,PLAIN,ml_timestamp_200M.csv,10.0,4.59434
1,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.90113
1,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,2.60815
1,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,2.68572
1,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,2.69292
1,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,2.85161
1,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,4.55371
1,DICT,normal_200M_uint32.txt,0.001,1.33054
1,DICT,normal_200M_uint32.txt,0.01,1.70723
1,DICT,normal_200M_uint32.txt,0.05,1.76283
1,DICT,normal_200M_uint32.txt,0.1,1.76497
1,DICT,normal_200M_uint32.txt,1.0,1.79407
1,DICT,normal_200M_uint32.txt,10.0,2.70844
1,DICT,linear_200M_uint32.txt,0.001,1.39126
1,DICT,linear_200M_uint32.txt,0.01,1.76167
1,DICT,linear_200M_uint32.txt,0.05,1.82219
1,DICT,linear_200M_uint32.txt,0.1,1.82158
1,DICT,linear_200M_uint32.txt,1.0,1.85097
1,DICT,linear_200M_uint32.txt,10.0,2.7527
1,DICT,books_200M_uint32.txt,0.001,1.48014
1,DICT,books_200M_uint32.txt,0.01,1.74915
1,DICT,books_200M_uint32.txt,0.05,1.8347
1,DICT,books_200M_uint32.txt,0.1,1.8438
1,DICT,books_200M_uint32.txt,1.0,1.8803
1,DICT,books_200M_uint32.txt,10.0,2.76937
1,DICT,ml_timestamp_200M.csv,0.001,1.99609
1,DICT,ml_timestamp_200M.csv,0.01,2.60751
1,DICT,ml_timestamp_200M.csv,0.05,2.69098
1,DICT,ml_timestamp_200M.csv,0.1,2.72892
1,DICT,ml_timestamp_200M.csv,1.0,2.76353
1,DICT,ml_timestamp_200M.csv,10.0,4.55185
1,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.95467
1,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,2.66446
1,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,2.72746
1,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,2.74004
1,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,2.79931
1,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,4.58491
1,FOR,normal_200M_uint32.txt,0.001,1.0326
1,FOR,normal_200M_uint32.txt,0.01,1.25779
